title,year_range,genre,rating,one-line,votes,runtime,gross,start_year,end_year,director,actors,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_film-noir,genre_game-show,genre_history,genre_horror,genre_music,genre_musical,genre_mystery,genre_news,genre_reality-tv,genre_romance,genre_sci-fi,genre_short,genre_sport,genre_talk-show,genre_thriller,genre_war,genre_western
Blood Red Sky,2021,"action,horror,thriller",6.1,"
A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.","21,062",121.0,,2021,,Peter Thorwarth,"Peri Baumeister, 
Carl Anton Koch, 
Alexander Scheer, 
Kais Setti",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Masters of the Universe: Revelation,2021– ,"animation,action,adventure",5.0,"
The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.","17,870",25.0,,2021,,,"Chris Wood, 
Sarah Michelle Gellar, 
Lena Headey, 
Mark Hamill",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Walking Dead,2010–2022,"drama,horror,thriller",8.2,"
Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.","885,805",44.0,,2010,2022,,"Andrew Lincoln, 
Norman Reedus, 
Melissa McBride, 
Lauren Cohan",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Rick and Morty,2013– ,"animation,adventure,comedy",9.2,"
An animated series that follows the exploits of a super scientist and his not-so-bright grandson.","414,849",23.0,,2013,,,"Justin Roiland, 
Chris Parnell, 
Spencer Grammer, 
Sarah Chalke",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Army of Thieves,2021,"action,crime,horror",,"
A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.",,,,2021,,Matthias Schweighöfer,"Matthias Schweighöfer, 
Nathalie Emmanuel, 
Ruby O. Fee, 
Stuart Martin",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Outer Banks,2020– ,"action,crime,drama",7.6,"
A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.","25,858",50.0,,2020,,,"Chase Stokes, 
Madelyn Cline, 
Madison Bailey, 
Jonathan Daviss",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Last Letter from Your Lover,2021,"drama,romance",6.8,"
A pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965.","5,283",110.0,,2021,,Augustine Frizzell,"Shailene Woodley, 
Joe Alwyn, 
Wendy Nottingham, 
Felicity Jones",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dexter,2006–2013,"crime,drama,mystery",8.6,"
By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.","665,387",53.0,,2006,2013,,"Michael C. Hall, 
Jennifer Carpenter, 
David Zayas, 
James Remar",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Never Have I Ever,2020– ,comedy,7.9,"
The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.","34,530",30.0,,2020,,,"Maitreyi Ramakrishnan, 
Poorna Jagannathan, 
Darren Barnet, 
John McEnroe",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgin River,2019– ,"drama,romance",7.4,"
Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.","27,279",44.0,,2019,,,"Alexandra Breckenridge, 
Martin Henderson, 
Colin Lawrence, 
Tim Matheson",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
